In,Out,Date,Time,Branch,Group
68,62,12/26/2024,2:00 PM,Shadle Park,SH East
31,36,12/26/2024,2:00 PM,Liberty Park,LP Main
24,21,12/26/2024,2:00 PM,Indian Trail,IT Main
11,11,12/26/2024,2:00 PM,Hillyard,HY North
90,113,12/26/2024,2:00 PM,Central,1st Floor Main Entrance
35,52,12/26/2024,1:00 PM,South Hill,SO Main
50,50,12/26/2024,1:00 PM,Shadle Park,SH East
26,40,12/26/2024,1:00 PM,Liberty Park,LP Main
26,27,12/26/2024,1:00 PM,Indian Trail,IT Main
14,10,12/26/2024,1:00 PM,Hillyard,HY North
140,143,12/26/2024,1:00 PM,Central,1st Floor Main Entrance
24,57,12/26/2024,12:00 PM,South Hill,SO Main
75,64,12/26/2024,12:00 PM,Shadle Park,SH East
23,27,12/26/2024,12:00 PM,Liberty Park,LP Main
19,17,12/26/2024,12:00 PM,Indian Trail,IT Main
11,10,12/26/2024,12:00 PM,Hillyard,HY North
135,144,12/26/2024,12:00 PM,Central,1st Floor Main Entrance
49,40,12/26/2024,11:00 AM,South Hill,SO Main
57,49,12/26/2024,11:00 AM,Shadle Park,SH East
32,44,12/26/2024,11:00 AM,Liberty Park,LP Main
21,24,12/26/2024,11:00 AM,Indian Trail,IT Main
10,9,12/26/2024,11:00 AM,Hillyard,HY North
115,139,12/26/2024,11:00 AM,Central,1st Floor Main Entrance
33,31,12/26/2024,10:00 AM,South Hill,SO Main
37,46,12/26/2024,10:00 AM,Shadle Park,SH East
40,21,12/26/2024,10:00 AM,Liberty Park,LP Main
22,13,12/26/2024,10:00 AM,Indian Trail,IT Main
8,6,12/26/2024,10:00 AM,Hillyard,HY North
102,102,12/26/2024,10:00 AM,Central,1st Floor Main Entrance
36,20,12/26/2024,9:00 AM,South Hill,SO Main
57,29,12/26/2024,9:00 AM,Shadle Park,SH East
45,32,12/26/2024,9:00 AM,Liberty Park,LP Main
10,9,12/26/2024,9:00 AM,Indian Trail,IT Main
7,5,12/26/2024,9:00 AM,Hillyard,HY North
117,69,12/26/2024,9:00 AM,Central,1st Floor Main Entrance
23,43,12/26/2024,8:00 AM,South Hill,SO Main
6,1,12/26/2024,8:00 AM,Shadle Park,SH East
5,6,12/26/2024,8:00 AM,Liberty Park,LP Main
16,28,12/26/2024,8:00 AM,Indian Trail,IT Main
14,21,12/26/2024,8:00 AM,Hillyard,HY North
24,30,12/26/2024,8:00 AM,Central,1st Floor NW Entrance
5,1,12/26/2024,7:00 AM,South Hill,SO Main
7,12,12/26/2024,7:00 AM,Liberty Park,LP Main
10,15,12/26/2024,7:00 AM,Indian Trail,IT Main
13,12,12/26/2024,7:00 AM,Hillyard,HY North
13,26,12/26/2024,7:00 AM,Central,1st Floor Main Entrance
1,0,12/26/2024,6:00 AM,South Hill,SO Main
6,6,12/26/2024,6:00 AM,Liberty Park,LP Main
2,2,12/26/2024,5:00 AM,Central,Basement Entrance
1,1,12/24/2024,9:00 PM,South Hill,SO Main
1,7,12/24/2024,4:00 PM,Central,Basement Entrance
4,7,12/24/2024,1:00 PM,Central,Basement Entrance
3,1,12/24/2024,12:00 PM,Central,Basement Entrance
7,10,12/24/2024,11:00 AM,Central,Basement Entrance
3,5,12/24/2024,10:00 AM,Central,Basement Entrance
2,2,12/24/2024,9:00 AM,Central,Basement Entrance
0,0,12/24/2024,2:00 AM,Hillyard,HY South
1,1,12/23/2024,7:00 PM,South Hill,SO Main
1,6,12/23/2024,7:00 PM,Liberty Park,LP Main
0,3,12/23/2024,7:00 PM,Hillyard,HY North
5,14,12/23/2024,7:00 PM,Central,1st Floor Main Entrance
14,20,12/23/2024,6:00 PM,South Hill,SO Main
17,76,12/23/2024,6:00 PM,Shadle Park,SH East
5,8,12/23/2024,6:00 PM,Liberty Park,LP Main
9,11,12/23/2024,6:00 PM,Indian Trail,IT Main
8,19,12/23/2024,6:00 PM,Hillyard,HY North
40,99,12/23/2024,6:00 PM,Central,1st Floor Main Entrance
29,36,12/23/2024,5:00 PM,South Hill,SO Main
52,53,12/23/2024,5:00 PM,Shadle Park,SH East
2,8,12/23/2024,5:00 PM,Liberty Park,LP Main
0,1,12/23/2024,5:00 PM,Indian Trail,IT Main
7,11,12/23/2024,5:00 PM,Hillyard,HY North
59,72,12/23/2024,5:00 PM,Central,1st Floor Main Entrance
37,69,12/23/2024,4:00 PM,South Hill,SO Main
113,76,12/23/2024,4:00 PM,Shadle Park,SH East
28,69,12/23/2024,4:00 PM,Liberty Park,LP Main
34,37,12/23/2024,4:00 PM,Indian Trail,IT Main
4,20,12/23/2024,4:00 PM,Hillyard,HY North
98,137,12/23/2024,4:00 PM,Central,1st Floor Main Entrance
72,72,12/23/2024,3:00 PM,South Hill,SO Main
53,64,12/23/2024,3:00 PM,Shadle Park,SH East
72,51,12/23/2024,3:00 PM,Liberty Park,LP Main
24,19,12/23/2024,3:00 PM,Indian Trail,IT Main
24,19,12/23/2024,3:00 PM,Hillyard,HY North
112,159,12/23/2024,3:00 PM,Central,1st Floor Main Entrance
66,77,12/23/2024,2:00 PM,South Hill,SO Main
59,58,12/23/2024,2:00 PM,Shadle Park,SH East
27,22,12/23/2024,2:00 PM,Liberty Park,LP Main
29,31,12/23/2024,2:00 PM,Indian Trail,IT Main
17,19,12/23/2024,2:00 PM,Hillyard,HY North
144,198,12/23/2024,2:00 PM,Central,1st Floor Main Entrance
78,62,12/23/2024,1:00 PM,South Hill,SO Main
75,72,12/23/2024,1:00 PM,Shadle Park,SH East
27,34,12/23/2024,1:00 PM,Liberty Park,LP Main
17,12,12/23/2024,1:00 PM,Indian Trail,IT Main
15,17,12/23/2024,1:00 PM,Hillyard,HY North
133,143,12/23/2024,1:00 PM,Central,1st Floor Main Entrance
82,75,12/23/2024,12:00 PM,South Hill,SO Main
57,85,12/23/2024,12:00 PM,Shadle Park,SH East
33,45,12/23/2024,12:00 PM,Liberty Park,LP Main
17,16,12/23/2024,12:00 PM,Indian Trail,IT Main
26,16,12/23/2024,12:00 PM,Hillyard,HY North
112,156,12/23/2024,12:00 PM,Central,1st Floor Main Entrance
74,76,12/23/2024,11:00 AM,South Hill,SO Main
69,56,12/23/2024,11:00 AM,Shadle Park,SH East
63,60,12/23/2024,11:00 AM,Liberty Park,LP Main
24,26,12/23/2024,11:00 AM,Indian Trail,IT Main
20,27,12/23/2024,11:00 AM,Hillyard,HY North
135,146,12/23/2024,11:00 AM,Central,1st Floor Main Entrance
64,51,12/23/2024,10:00 AM,South Hill,SO Main
